1694016	1756512	62496	Predicted by at least one method	WP_029939058.1		BS76_RS0108305	1704604	1707051	1	carbamoyltransferase HypF	
2355243	2378122	22879	Predicted by at least one method	WP_029939649.1		BS76_RS0111455	2356704	2356910	1	AlpA family phage regulatory protein	
1220000	1233456	13456	Predicted by at least one method	WP_029938652.1		BS76_RS0106125	1229018	1229713	-1	hypothetical protein	
1125904	1164894	38990	Predicted by at least one method			BS76_RS0105665	1138977	1140124	1	IS3 family transposase	
525965	576669	50704	Predicted by at least one method	WP_029938010.1		BS76_RS0102645	529404	530441	-1	integrase	
813072	827000	13928	Predicted by at least one method	WP_029938300.1		BS76_RS0104180	813072	813503	-1	ubiquinone-binding protein	
1125904	1164894	38990	Predicted by at least one method			BS76_RS0105705	1145307	1146454	-1	IS3 family transposase	
1125904	1164894	38990	Predicted by at least one method	WP_029938580.1		BS76_RS0105740	1152081	1153151	-1	CDP-glucose 4,6-dehydratase	
1694016	1756512	62496	Predicted by at least one method	WP_029939051.1		BS76_RS0108265	1695802	1696248	-1	cytochrome Cbb3	
525965	576669	50704	Predicted by at least one method	WP_051673572.1		BS76_RS0102830	555608	557269	-1	ribonucleoside-diphosphate reductase, alpha chain	
1125904	1164894	38990	Predicted by at least one method	WP_029938562.1		BS76_RS0105630	1132483	1133601	-1	GDP-mannose 4,6-dehydratase	
813072	827000	13928	Predicted by at least one method	WP_029938299.1		BS76_RS0104175	812797	813075	-1	protein rnfH	
1125904	1164894	38990	Predicted by at least one method	WP_051673394.1		BS76_RS0105775	1161981	1162796	-1	heteromeric transposase endonuclease subunit TnsA	
813072	827000	13928	Predicted by at least one method	WP_029938301.1		BS76_RS0104185	813538	814014	1	SsrA-binding protein	
1125904	1164894	38990	Predicted by at least one method	WP_029938563.1		BS76_RS0105635	1133616	1134827	-1	glycosyltransferase WbuB	
1694016	1756512	62496	Predicted by at least one method	WP_029939062.1		BS76_RS0108325	1710888	1711601	-1	phosphoadenosine phosphosulfate reductase	
1694016	1756512	62496	Predicted by at least one method	WP_029939064.1		BS76_RS0108335	1713373	1714776	-1	sulfate adenylyltransferase subunit CysN	
1125904	1164894	38990	Predicted by at least one method	WP_029938559.1		BS76_RS0105615	1129607	1131034	-1	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	
525965	576669	50704	Predicted by at least one method	WP_029938041.1		BS76_RS0102805	553108	553818	-1	thymidylate synthase (FAD)	
1220000	1233456	13456	Predicted by at least one method	WP_029938654.1		BS76_RS0106135	1230190	1231074	-1	hypothetical protein	
1125904	1164894	38990	Predicted by at least one method	WP_029938586.1		BS76_RS0105770	1159925	1161991	-1	transcriptional antiterminator	
1694016	1756512	62496	Predicted by at least one method	WP_029939059.1		BS76_RS0108310	1707056	1708369	1	PAS domain-containing sensor histidine kinase	
1125904	1164894	38990	Predicted by at least one method	WP_029938588.1		BS76_RS0105780	1163041	1164894	-1	glutamine--fructose-6-phosphate aminotransferase	
1220000	1233456	13456	Predicted by at least one method	WP_029938655.1		BS76_RS0106140	1231192	1231506	-1	transcriptional regulator	
1694016	1756512	62496	Predicted by at least one method	WP_029939088.1		BS76_RS0108455	1737899	1738585	1	Ni/Fe-hydrogenase, b-type cytochrome subunit	
1125904	1164894	38990	Predicted by at least one method	WP_029938577.1		BS76_RS0105725	1148866	1149882	-1	CDP-paratose 2-epimerase	
