# distribution of bitscores
# Fields: bitscore, occurrences
D	46	1
D	47	1
D	86	1
D	92	1
D	96	1
D	102	2
D	108	1
D	111	1
D	115	1
D	120	1
D	121	1
D	125	1
D	127	1
D	129	2
D	130	3
D	132	4
D	133	2
D	139	1
D	140	1
D	141	2
D	144	2
D	147	1
D	150	1
D	151	1
D	177	2
D	181	1
D	186	1
D	187	2
D	189	1
D	190	1
D	191	1
D	194	1
D	197	1
D	810	1
D	812	1
D	824	1
D	829	1
D	1018	1
# distribution of log10(expect)
# Fields: log10(expect), occurrences
D	-53	1
D	-52	1
D	-51	2
D	-50	2
D	-49	2
D	-48	1
D	-46	2
D	-38	2
D	-37	1
D	-36	1
D	-35	2
D	-34	3
D	-33	1
D	-32	2
D	-31	8
D	-30	3
D	-29	1
D	-28	1
D	-26	1
D	-25	1
D	-24	2
D	-22	1
D	-20	1
D	-18	1
D	-5	1
D	-4	1
D	0	5
# distribution of identities
# Fields: identity, occurrences
D	29	2
D	30	2
D	31	4
D	32	7
D	33	5
D	34	6
D	35	1
D	36	4
D	37	4
D	39	1
D	40	1
D	42	2
D	43	2
D	53	1
D	67	1
D	68	2
D	70	1
D	81	1
D	89	1
D	98	1
D	100	1
